id	title	company	company_slug	location	type	posted	role_category	seniority	culture_values	glassdoor_rating	apply_url	profile_url	jobs_filter_url	post_count	last_posted	status	og_image
3680	Senior Enablement Manager	Airbnb	airbnb	Singapore	Full-time · Hybrid	1w ago	Other	Lead / Manager	Remote-Friendly, Work-Life Balance, Diverse & Inclusive, Open Source Culture, Strong Comp & Equity	4.1	https://careers.airbnb.com/positions/7613446?gh_jid=7613446&ref=jobsbyculture.com	https://jobsbyculture.com/companies/airbnb	https://jobsbyculture.com/jobs?company=airbnb			expired	https://jobsbyculture.com/api/og?type=company&slug=airbnb
3681	Staff Software Engineer, AI Reliability Engineering	Anthropic	anthropic	London, UK	Full-time	2d ago	Engineering	Staff / Principal	Ethical AI / Safety, Learning & Growth, Strong Comp & Equity, Mission-Driven, Engineering-Driven, Flat Hierarchy	4.4	https://job-boards.greenhouse.io/anthropic/jobs/5101173008?ref=jobsbyculture.com	https://jobsbyculture.com/companies/anthropic	https://jobsbyculture.com/jobs?company=anthropic			pending	https://jobsbyculture.com/api/og?type=company&slug=anthropic
3682	Senior Staff Software Engineer - Security Infrastructure	Databricks	databricks	Mountain View, California	Full-time	1w ago	Engineering	Staff / Principal	Engineering-Driven, Learning & Growth, Strong Comp & Equity, Diverse & Inclusive, Direct Product Impact	4.1	https://databricks.com/company/careers/open-positions/job?gh_jid=7274908002?ref=jobsbyculture.com	https://jobsbyculture.com/companies/databricks	https://jobsbyculture.com/jobs?company=databricks			pending	https://jobsbyculture.com/api/og?type=company&slug=databricks
3683	Recruiting Coordinator (FTE)	Stripe	stripe	Singapore	Full-time	1d ago	HR / People	Mid-Level	Engineering-Driven, Learning & Growth, Strong Comp & Equity, Direct Product Impact, Transparency	4	https://stripe.com/jobs/search?gh_jid=7456364?ref=jobsbyculture.com	https://jobsbyculture.com/companies/stripe	https://jobsbyculture.com/jobs?company=stripe			pending	https://jobsbyculture.com/api/og?type=company&slug=stripe
3684	People Analytics Specialist	CoreWeave	coreweave	New York, NY/Sunnyvale, CA	Full-time	3w+ ago	Data	Mid-Level	Engineering-Driven, Ship Fast & Iterate, Strong Comp & Equity, Wears Many Hats	3.6	https://coreweave.com/careers/job?4620932006&board=coreweave&gh_jid=4620932006&ref=jobsbyculture.com	https://jobsbyculture.com/companies/coreweave	https://jobsbyculture.com/jobs?company=coreweave			expired	https://jobsbyculture.com/api/og?type=company&slug=coreweave
3685	Senior Frontend Engineer, GraphQL & Networking Platform	Airbnb	airbnb	United States	Full-time · Remote	1w ago	Engineering	Senior	Remote-Friendly, Work-Life Balance, Diverse & Inclusive, Open Source Culture, Strong Comp & Equity	4.1	https://careers.airbnb.com/positions/7358446?gh_jid=7358446&ref=jobsbyculture.com	https://jobsbyculture.com/companies/airbnb	https://jobsbyculture.com/jobs?company=airbnb			expired	https://jobsbyculture.com/api/og?type=company&slug=airbnb
3686	Staff Software Engineer, Build Systems	Anthropic	anthropic	London, UK	Full-time	2d ago	Engineering	Staff / Principal	Ethical AI / Safety, Learning & Growth, Strong Comp & Equity, Mission-Driven, Engineering-Driven, Flat Hierarchy	4.4	https://job-boards.greenhouse.io/anthropic/jobs/5102663008?ref=jobsbyculture.com	https://jobsbyculture.com/companies/anthropic	https://jobsbyculture.com/jobs?company=anthropic			pending	https://jobsbyculture.com/api/og?type=company&slug=anthropic
3687	Senior Staff Software Engineer - Unity Catalog Runtime Enforcement	Databricks	databricks	Berlin, Germany	Full-time	1w ago	Engineering	Staff / Principal	Engineering-Driven, Learning & Growth, Strong Comp & Equity, Diverse & Inclusive, Direct Product Impact	4.1	https://databricks.com/company/careers/open-positions/job?gh_jid=8407527002?ref=jobsbyculture.com	https://jobsbyculture.com/companies/databricks	https://jobsbyculture.com/jobs?company=databricks			pending	https://jobsbyculture.com/api/og?type=company&slug=databricks
3688	Recruiting Coordinator Manager, EMEA/APAC	Stripe	stripe	Dublin	Full-time	1d ago	HR / People	Lead / Manager	Engineering-Driven, Learning & Growth, Strong Comp & Equity, Direct Product Impact, Transparency	4	https://stripe.com/jobs/search?gh_jid=7541513?ref=jobsbyculture.com	https://jobsbyculture.com/companies/stripe	https://jobsbyculture.com/jobs?company=stripe			pending	https://jobsbyculture.com/api/og?type=company&slug=stripe
3689	People Business Partner - Product & Engineering	CoreWeave	coreweave	Livingston, NJ / New York, NY 	Full-time	3w+ ago	HR / People	Mid-Level	Engineering-Driven, Ship Fast & Iterate, Strong Comp & Equity, Wears Many Hats	3.6	https://coreweave.com/careers/job?4647106006&board=coreweave&gh_jid=4647106006&ref=jobsbyculture.com	https://jobsbyculture.com/companies/coreweave	https://jobsbyculture.com/jobs?company=coreweave			expired	https://jobsbyculture.com/api/og?type=company&slug=coreweave
