PR,URL,Title,Content type,Is rendered page,HTTP status code,Organic traffic,Depth,Redirect URL,Redirect URL code,No. of all inlinks
,https://apply.workable.com/j/E3A94AF492?ref=jobsbyculture.com,,text/html; charset=utf-8,false,301,,1,https://apply.workable.com/huggingface/j/E3A94AF492/?ref=jobsbyculture.com,,3
,https://stripe.com/jobs/search?gh_jid=7393071%3Fref%3Djobsbyculture.com&ref=jobsbyculture.com,,text/html; charset=utf-8,false,301,,1,https://stripe.com/jobs/listing/operations-associate-gtm-onboarding-specialist/7393071,,1
,https://boards.greenhouse.io/cloudflare/jobs/7519586?gh_jid=7519586%3Fref%3Djobsbyculture.com&ref=jobsbyculture.com,,text/html; charset=utf-8,false,301,,1,https://job-boards.greenhouse.io/cloudflare/jobs/7519586?gh_jid=7519586%3Fref%3Djobsbyculture.com&ref=jobsbyculture.com,,1
,https://databricks.com/company/careers/open-positions/job?gh_jid=8461584002%3Fref%3Djobsbyculture.com&ref=jobsbyculture.com,,,false,301,,1,https://www.databricks.com/company/careers/open-positions/job?gh_jid=8461584002%253Fref%253Djobsbyculture.com&ref=jobsbyculture.com,,7
,https://stripe.com/jobs/search?gh_jid=7165781%3Fref%3Djobsbyculture.com&ref=jobsbyculture.com,,text/html; charset=utf-8,false,301,,1,https://stripe.com/jobs/listing/head-of-consumer-marketing-link/7165781,,1
,https://careers.airbnb.com/positions/7689539?gh_jid=7689539%3Fref%3Djobsbyculture.com&ref=jobsbyculture.com,,text/html; charset=utf-8,false,301,,1,https://careers.airbnb.com/positions/7689539/?gh_jid=7689539%3Fref%3Djobsbyculture.com&ref=jobsbyculture.com,,4
,https://databricks.com/company/careers/open-positions/job?gh_jid=8399535002%3Fref%3Djobsbyculture.com&ref=jobsbyculture.com,,,false,301,,1,https://www.databricks.com/company/careers/open-positions/job?gh_jid=8399535002%253Fref%253Djobsbyculture.com&ref=jobsbyculture.com,,3
,https://careers.airbnb.com/positions/7446449?gh_jid=7446449%3Fref%3Djobsbyculture.com&ref=jobsbyculture.com,,text/html; charset=utf-8,false,301,,1,https://careers.airbnb.com/positions/7446449/?gh_jid=7446449%3Fref%3Djobsbyculture.com&ref=jobsbyculture.com,,4
,https://databricks.com/company/careers/open-positions/job?gh_jid=8388585002%3Fref%3Djobsbyculture.com&ref=jobsbyculture.com,,,false,301,,1,https://www.databricks.com/company/careers/open-positions/job?gh_jid=8388585002%253Fref%253Djobsbyculture.com&ref=jobsbyculture.com,,1
,https://careers.airbnb.com/positions/7454348?gh_jid=7454348%3Fref%3Djobsbyculture.com&ref=jobsbyculture.com,,text/html; charset=utf-8,false,301,,1,https://careers.airbnb.com/positions/7454348/?gh_jid=7454348%3Fref%3Djobsbyculture.com&ref=jobsbyculture.com,,1
